id,title,headline,is_practice_test_course,bestseller,captions,rating,num_published_lectures,num_published_practice_tests,locale,created_date,instructional_level_simple,published_date,last_update_date,content_info_short,instructors,category,subcategory,objectives,list_price,discount_price
11088,Desarrolla Juegos 2D en Unity hasta publicarlo en Playstore,"Juegos 2d todo lo necesario para crear un juego desde 0 ,hasta publicarlo en Playstore.",False,,es_ES,5.0,21,0,es_ES,2021-03-01,Principiante,2021-03-21,2021-03-04,4 horas,116249520,Informática y software,Desarrollo de juegos para móviles,"Aprenderás todos los conceptos básicos  para utilizar Unity,,(motor de videojuegos gratis ).Como crear tu propio personaje 2d desde el teléfono con pixel art.Intercambiar escenas en tu juego",$19.99,$12
11089,React Native: Aplicaciones nativas para IOS y Android,"TypeScript, React Native CLI, Google y Apple maps, cámara, GPS, polylines, hooks, autenticación, despliegues y más",False,,es_LA,4.9,380,0,es_LA,2021-03-01,Todos los niveles,2021-04-04,2021-06-14,"43,5 horas",11767934,Desarrollo,API de Google Maps,React Native.Crear aplicaciones móviles nativas usando RN.Crear muchas aplicaciones altamente estilizadas,$89.99,$12
11090,Introducción a Internet de las cosas con Micropython y ESP32,Aprende como ingresar al mundo del Internet de las cosas haciendo uso de MicroPython y el ESP32,False,,es_ES,4.5,32,0,es_ES,2021-03-01,Principiante,2021-04-06,2021-05-27,"1,5 horas",136827143,Informática y software,MicroPython,Controlar módulos ESP32 usando el lenguaje de programación Micropython.Idear aplicaciones en el entorno real aplicando lo aprendido.Sintaxis del lenguaje de programación Python,$34.99,$12
11091,Identifica y construye a tu cliente ideal,Construir las bases sólidas del perfil de cliente ideal para cualquier emprendedor/a o empresa,False,,es_ES,5.0,31,0,es_ES,2021-03-01,Principiante,2021-04-09,,4 horas,135011368,Negocios,Personas,"¿Alguna vez te has preguntado cómo empresas como Apple, Amazon o Vilma Nuñez llegan a tantas personas y triunfan?.Aprenderás todo lo que necesitas saber para construir la pieza clave y esencial de todo emprendimiento o negocio..Aprenderás a saber investigar los clientes de tu competencia para identificar sus problemas o necesidades y así poder solucionarlos y que seas tú su elección.",$59.99,$12
11092,Análisis de Procesos para líderes y jefes de producción,"(Procesos, Decisiones y Costos con Teoría de Restricciones - Parte I) : Análisis de procesos para la Toma de Decisiones",False,,"es_MX,en_US",4.7,15,0,es_MX,2021-03-01,Principiante,2021-04-14,2021-05-04,1 hora,34396906,Negocios,Gestión de operaciones,Analizar a fondo Procesos y Operaciones.Definir y determinar las medidas fundamentales para entender Procesos y Operaciones.Identificar y entender los Cuellos de Botella,$24.99,
11093,Diploma Acreditado de Aromaterapia 1:Aromaterapia para todos,Aprende todo lo que necesitas saber para comprender los conceptos básicos de aromaterapia y aceites esenciales.,False,,es_LA,4.5,52,0,es_LA,2021-03-01,Principiante,2021-04-25,2021-06-15,3 horas,"18651996,152314142",Estilo de vida,Aromaterapia,Podrás trabajar con aceites esenciales y técnicas de aromaterapia con amigos y familiares.Tendrás un conocimiento profundo de la historia de la aromaterapia.Podrás mezclar y diluir aceites esenciales para hacer mágicas recetas caseras,$94.99,$12
11094,Inglés para Niños - Nivel 10 Jumbo (Genki Inglés),¡Su Hij@ Puede Hablar Inglés Con Confianza de Superhéroe!,False,,,5.0,7,0,es_VE,2021-03-02,Principiante,2021-03-03,2021-03-11,"1,5 horas",19036820,Enseñanzas y disciplinas académicas,Idioma inglés,"En el Nivel 10 Jumbo los estudiantes aprenderán: 1. Excuse me, are you ______? 2. I have a question 3. Guessing game... Is it ____? 3. Dance! 4. What are yu doing? 5. What do you want to do? 6. What do yu want to be? 7. What do you do? 8. BONUS... 1. ¿Cuál es tu ______ preferido(a)? 2. ¿A donde vas? 3. ¡Cóme! ¡Bébe! ¡Báila! 4. ¿Qué estás haciendo? 5 ¿Qué quieres hacer? 6. Quíen quieres ser? 7. ¿A qué te dedicas? 8. Bono Especial Video-karaoke   :)   Enfoque: Hablar inglés, desarrollar la autoconfianza, divertirse con las canciones y los juegos en inglés para conseguir excelentes resultados. Repetir en voz alta las palabras y oraciones, hacer los gestos, estar en movimiento, cantar en voz alta y practicar el inglés aprendido con los juegos y actividades.",$49.99,$12
11095,Crea una pasarela de pagos con Laravel Cashier y Stripe,En este curso aprenderás a implementar una pasarela de pagos completa en tu negocio virtual,False,,es_ES,4.8,33,0,es_ES,2021-03-02,Intermedio,2021-03-04,2021-03-14,"5,5 horas",35361316,Desarrollo,Procesamiento de pagos,"Aprenderás a consumir la API de Stripe.Crear, recuperar y actualizar clientes en Stripe.Agregar métodos de pago",$94.99,$12
11096,Historia de MADRID: ITINERARIOS [Miguel Zorita],Cada lección es un recorrido al libre por Madrid que podrás hacer en solitario o en compañía de la mano de Miguel Zorita,False,,es_ES,5.0,11,0,es_ES,2021-03-02,Todos los niveles,2021-03-04,2021-04-25,4 horas,"152410184,153887958",Enseñanzas y disciplinas académicas,Historia,Historia de la ciudad de Madrid.Cada clase es un recorrido por puntos cercanos entre sí de la ciudad sobre un tema en concreto que podrás realizar con tu movil en la mano en solitario o con compañía..Aprenderás secretos y anécdotas sobre los personajes más importantes de la Historia de Madrid que de otra forma nunca encontrarías en los libros de Historia tradicionales.,$24.99,$12
11097,Los Verdaderos Secretos de TikTok : ¡Sea un Influencer!,Conviértete en un Influencer TikTok: ¡Consigue rápidame con estos Secretos Muchos Seguidores! Temas: Redes sociales,False,,es_LA,3.4,37,0,es_LA,2021-03-02,Todos los niveles,2021-03-04,2021-03-04,"1,5 horas",28497888,Marketing,Marketing en TikTok,Aprenderás Rápidamente a convertirte en un Influyente.Aprenderás cómo hacer crecer tu comunidad.Serás admirado en las redes sociales,$94.99,$12
